"state","county","abortion","inflation","unemployment","wage"
"New York","Columbia County",6,3,,1
"New York","Cortland County",1,4,,
"New York","Delaware County",2,2,,1
"New York","Dutchess County",33,75,4,8
"New York","Erie County",340,439,51,38
"New York","Essex County",3,4,,
"New York","Franklin County",1,9,1,1
"New York","Fulton County",8,7,1,
"New York","Genesee County",5,11,2,
"New York","Greene County",4,12,,7
"New York","Herkimer County",2,9,,
"New York","Jefferson County",6,9,1,
"New York","Kings County",2165,4745,356,212
"New York","Lewis County",9,4,1,1
"New York","Livingston County",3,7,,
"New York","Madison County",3,8,,
"New York","Monroe County",50,108,22,4
"New York","Montgomery County",4,9,,
"New York","Nassau County",75,123,8,5
"New York","Niagara County",40,98,3,1
"New York","Oneida County",27,43,1,
"New York","Onondaga County",62,220,11,9
"New York","Ontario County",7,12,2,1
"New York","Orange County",28,43,6,2
"New York","Orleans County",1,2,,
"New York","Oswego County",3,4,,
"New York","Otsego County",15,28,1,
"New York","Putnam County",1,11,1,2
"New York","Rensselaer County",20,29,2,3
"New York","Rockland County",22,15,1,
"New York","Saratoga County",51,164,3,3
"New York","Schenectady County",15,36,1,2
"New York","Schoharie County",1,1,,
"New York","Seneca County",16,67,2,
"New York","St. Lawrence County",5,3,1,
"New York","Steuben County",7,12,2,1
"New York","Suffolk County",80,145,1,3
"New York","Sullivan County",17,45,,
"New York","Tioga County",1,,,
"New York","Tompkins County",27,37,4,5
"New York","Ulster County",173,316,18,32
"New York","Warren County",7,28,1,1
"New York","Washington County",1,9,,1
"New York","Wayne County",6,3,,
"New York","Westchester County",78,141,9,1
"New York","Wyoming County",,2,,
"New York","Yates County",,1,,
"Wyoming","Albany County",5,3,,2
"Wyoming","Campbell County",7,15,,
"Wyoming","Carbon County",,1,,
"Wyoming","Converse County",2,2,,1
"Wyoming","Crook County",,6,,
"Wyoming","Fremont County",1,2,,
"Wyoming","Goshen County",9,4,,1
"Wyoming","Hot Springs County",,3,,
"Wyoming","Johnson County",6,5,,
"Wyoming","Laramie County",7,27,1,
"Wyoming","Natrona County",6,30,1,
"Wyoming","Park County",2,1,3,
"Wyoming","Platte County",2,1,,
"Wyoming","Sheridan County",5,9,,2
"Wyoming","Sublette County",1,,,
"Wyoming","Sweetwater County",2,2,,
"Wyoming","Teton County",1,6,,
"Wyoming","Uinta County",1,5,,
"Wyoming","Washakie County",2,3,1,
"Michigan","Allegan County",7,3,,
"Michigan","Alpena County",2,2,,
"Michigan","Arenac County",,2,,
"Michigan","Barry County",,1,,
"Michigan","Bay County",8,14,3,1
"Michigan","Benzie County",,1,,
"Michigan","Berrien County",15,12,6,1
"Michigan","Calhoun County",18,29,1,1
"Michigan","Cass County",3,1,1,
"Michigan","Charlevoix County",1,2,1,
"Michigan","Clinton County",1,,1,
"Michigan","Crawford County",1,,,
"Michigan","Delta County",3,1,,
"Michigan","Dickinson County",11,13,,
"Michigan","Eaton County",2,2,,
"Michigan","Emmet County",,5,,
"Michigan","Genesee County",78,118,7,7
"Michigan","Gladwin County",,3,,1
"Michigan","Gogebic County",,1,,
"Michigan","Gratiot County",1,5,,
"Michigan","Hillsdale County",2,3,,
"Michigan","Houghton County",,1,,
"Michigan","Huron County",2,,,
"Michigan","Ingham County",237,103,11,9
"Michigan","Ionia County",9,18,,
"Michigan","Iosco County",,1,,
"Michigan","Isabella County",8,9,1,1
"Michigan","Jackson County",10,13,2,1
"Michigan","Kalamazoo County",49,47,2,7
"Michigan","Kalkaska County",,1,,
"Michigan","Kent County",241,207,15,7
"Michigan","Keweenaw County",4,1,1,2
"Michigan","Lake County",1,2,,
"Michigan","Lapeer County",4,7,,
"Michigan","Leelanau County",20,46,4,4
"Michigan","Lenawee County",3,3,,
"Michigan","Livingston County",30,47,2,2
"Michigan","Luce County",,2,1,
"Michigan","Mackinac County",5,19,1,2
"Michigan","Macomb County",30,42,4,2
"Michigan","Manistee County",3,,,
"Michigan","Marquette County",12,23,5,
"Michigan","Mason County",3,,,
"Michigan","Mecosta County",2,1,,
"Michigan","Midland County",40,29,1,1
"Michigan","Monroe County",6,4,,
"Michigan","Montcalm County",,1,,
"Michigan","Muskegon County",35,22,3,
"Michigan","Newaygo County",3,3,,
"Michigan","Oakland County",168,274,23,10
"Michigan","Oceana County",2,4,,
"Michigan","Oscoda County",,1,,
"Michigan","Otsego County",2,1,,
"Michigan","Ottawa County",19,16,2,1
"Michigan","Saginaw County",20,12,2,
"Michigan","Sanilac County",,1,,
"Michigan","Schoolcraft County",,1,,
"Michigan","Shiawassee County",4,11,,
"Michigan","St. Clair County",8,15,1,1
"Michigan","St. Joseph County",3,5,1,
"Michigan","Tuscola County",1,5,,
"Michigan","Van Buren County",6,2,,1
"Michigan","Washtenaw County",168,156,11,12
"Michigan","Wayne County",586,838,76,45
"Michigan","Wexford County",2,,,
"Maryland","Allegany County",4,6,,1
"Maryland","Anne Arundel County",48,62,2,3
"Maryland","Baltimore city",302,429,44,40
"Maryland","Calvert County",,1,,
"Maryland","Caroline County",,1,1,
"Maryland","Carroll County",15,47,4,
"Maryland","Cecil County",2,16,1,
"Maryland","Charles County",1,1,,
"Maryland","Dorchester County",2,4,,
"Maryland","Frederick County",42,40,1,4
"Maryland","Garrett County",1,,,
"Maryland","Harford County",6,22,1,1
"Maryland","Kent County",1,1,,
"Maryland","Montgomery County",51,125,11,9
"Maryland","Prince George's County",33,113,6,4
"Maryland","Queen Anne's County",,4,,
"Maryland","St. Mary's County",,6,,
"Maryland","Talbot County",,9,,
"Maryland","Washington County",21,41,1,1
"Maryland","Wicomico County",4,14,2,
"Maryland","Worcester County",2,5,,
"Indiana","Allen County",33,78,7,6
"Indiana","Bartholomew County",6,12,,
"Indiana","Boone County",8,14,2,1
"Indiana","Carroll County",,,1,
"Indiana","Cass County",1,2,,
"Indiana","Clark County",22,21,2,
"Indiana","Clay County",,2,,1
"Indiana","Clinton County",,2,,
"Indiana","DeKalb County",,3,,
"Indiana","Dearborn County",5,1,1,
"Indiana","Decatur County",,3,,
"Indiana","Delaware County",11,39,3,3
"Indiana","Dubois County",2,1,,
"Indiana","Elkhart County",6,9,,1
"Indiana","Floyd County",16,5,1,
"Indiana","Fulton County",1,2,,
"Indiana","Gibson County",,1,,
"Indiana","Greene County",,1,,
"Indiana","Hamilton County",29,75,2,1
"Indiana","Hancock County",1,5,,
"Indiana","Hendricks County",3,26,2,1
"Indiana","Henry County",2,2,,
"Indiana","Howard County",5,4,,
"Indiana","Huntington County",6,4,,
"Indiana","Jackson County",3,3,1,
"Indiana","Jasper County",,1,,
"Indiana","Jay County",,2,,
"Indiana","Johnson County",5,19,2,
"Indiana","Knox County",1,6,,1
"Indiana","Kosciusko County",1,7,,
"Indiana","LaGrange County",,1,,
"Indiana","LaPorte County",3,8,,3
"Indiana","Lake County",29,68,5,2
"Indiana","Lawrence County",4,5,,
"Indiana","Madison County",,4,,
"Indiana","Marion County",3,3,,
"Indiana","Marshall County",,3,,
"Indiana","Miami County",,2,,
"Indiana","Monroe County",28,31,4,
"Indiana","Montgomery County",4,11,1,
"Indiana","Morgan County",4,7,,1
"Indiana","Noble County",26,24,3,1
"Indiana","Orange County",10,18,2,2
"Indiana","Parke County",1,2,1,
"Indiana","Pike County",,1,,
"Indiana","Porter County",8,20,4,
"Indiana","Posey County",,2,,
"Indiana","Putnam County",1,2,,1
"Indiana","Randolph County",1,,,
"Indiana","Ripley County",,,1,
"Indiana","Rush County",,1,,
"Indiana","Scott County",,1,,
"Indiana","Shelby County",3,4,1,1
"Indiana","Spencer County",1,9,,2
"Indiana","St. Joseph County",38,99,4,5
"Indiana","Starke County",1,4,2,
"Indiana","Steuben County",,2,,
"Indiana","Tippecanoe County",17,31,2,2
"Indiana","Tipton County",,4,,
"Indiana","Vanderburgh County",24,35,1,
"Indiana","Vermillion County",1,3,1,
"Indiana","Vigo County",12,41,3,4
"Indiana","Wabash County",,2,,
"Indiana","Warren County",1,,,
"Indiana","Warrick County",116,15,3,
"Indiana","Washington County",8,5,,2
"Indiana","Wayne County",5,31,1,2
"Indiana","Wells County",,,,3
"Indiana","White County",1,1,,
"Indiana","Whitley County",,1,,
"Alaska","Anchorage Municipality",59,115,9,9
"Alaska","Bethel Census Area",,2,,2
"Alaska","Chugach Census Area",3,1,,
"Alaska","Fairbanks North Star Borough",19,45,1,5
"Alaska","Kenai Peninsula Borough",6,23,,2
"Alaska","Ketchikan Gateway Borough",1,1,,
"Alaska","Kodiak Island Borough",4,1,,
"Alaska","Matanuska-Susitna Borough",15,42,1,5
"Alaska","Nome Census Area",,9,,
"Alaska","Prince of Wales-Hyder Census Area",2,,,
"Tennessee","Anderson County",54,6,3,
"Tennessee","Bedford County",,9,,1
"Tennessee","Benton County",3,2,,
"Tennessee","Blount County",49,78,1,1
"Tennessee","Bradley County",4,7,1,
"Tennessee","Campbell County",1,1,,
"Tennessee","Carroll County",,1,,
"Tennessee","Carter County",3,3,,
"Tennessee","Cheatham County",1,4,,
"Tennessee","Claiborne County",,4,,
"Tennessee","Cocke County",1,1,,
"Tennessee","Coffee County",1,8,1,
"Tennessee","Crockett County",,1,,
"Tennessee","Cumberland County",4,7,,1
"Tennessee","Davidson County",2,17,,1
"Tennessee","DeKalb County",,2,,
"Tennessee","Dickson County",2,5,,
"Tennessee","Fayette County",,1,,
"Tennessee","Franklin County",,2,,
"Tennessee","Gibson County",2,12,,
"Tennessee","Giles County",,4,,
"Tennessee","Grainger County",3,2,,
"Tennessee","Greene County",12,8,1,2
"Tennessee","Hamblen County",14,5,,1
"Tennessee","Hamilton County",104,191,14,12
"Tennessee","Hardin County",2,2,,
"Tennessee","Hawkins County",,1,,
"Tennessee","Haywood County",,1,,
"Tennessee","Henderson County",2,9,,
"Tennessee","Henry County",,3,1,
"Tennessee","Jefferson County",8,4,,
"Tennessee","Johnson County",1,,,
"Tennessee","Knox County",137,294,17,21
"Tennessee","Lawrence County",,3,,
"Tennessee","Lewis County",,1,,
"Tennessee","Lincoln County",1,2,,
"Tennessee","Loudon County",18,15,1,
"Tennessee","Macon County",,6,,
"Tennessee","Madison County",9,31,2,2
"Tennessee","Marion County",,2,,
"Tennessee","Maury County",7,5,1,
"Tennessee","McMinn County",3,5,,
"Tennessee","Montgomery County",24,24,4,1
"Tennessee","Obion County",1,3,1,
"Tennessee","Overton County",,1,,
"Tennessee","Putnam County",3,14,1,3
"Tennessee","Rhea County",,2,,
"Tennessee","Roane County",6,7,,1
"Tennessee","Robertson County",12,14,1,
"Tennessee","Rutherford County",60,50,3,6
"Tennessee","Sevier County",7,11,2,
"Tennessee","Shelby County",189,323,26,20
"Tennessee","Stewart County",,1,,
"Tennessee","Sullivan County",12,35,5,1
"Tennessee","Sumner County",6,17,5,
"Tennessee","Tipton County",,1,,
"Tennessee","Unicoi County",,1,,
"Tennessee","Warren County",,2,,
"Tennessee","Washington County",26,62,2,2
"Tennessee","Weakley County",,3,,
"Tennessee","White County",1,,1,
"Tennessee","Williamson County",55,168,7,10
"Tennessee","Wilson County",14,11,1,3
"Texas","Anderson County",3,2,,
"Texas","Andrews County",,5,,
"Texas","Angelina County",4,4,,
"Texas","Aransas County",5,5,,
"Texas","Atascosa County",1,1,,
"Texas","Austin County",2,,,
"Texas","Bastrop County",3,20,,
"Texas","Bee County",3,9,,2
"Texas","Bell County",43,71,1,
"Texas","Bexar County",507,898,40,48
"Texas","Bosque County",,,,1
"Texas","Bowie County",5,9,1,
"Texas","Brazoria County",35,79,3,4
"Texas","Brazos County",33,57,2,2
"Texas","Brewster County",4,2,,
"Texas","Brown County",19,6,,1
"Texas","Burleson County",6,2,1,
"Texas","Burnet County",2,2,,
"Texas","Caldwell County",,2,,
"Texas","Cameron County",24,29,1,1
"Texas","Cass County",1,,,1
"Texas","Chambers County",8,11,,
"Texas","Cherokee County",3,9,,
"Texas","Coleman County",,2,,
"Texas","Collin County",161,347,25,16
"Texas","Colorado County",2,5,1,
"Texas","Comal County",25,28,,
"Texas","Comanche County",1,1,,
"Texas","Cooke County",,4,,
"Texas","Coryell County",2,10,2,
"Texas","Crane County",,1,,
"Texas","Dallas County",979,1971,112,84
"Texas","DeWitt County",1,,,
"Texas","Denton County",82,181,3,10
"Texas","Dimmit County",,2,,
"Texas","Duval County",,1,,
"Texas","Ector County",16,25,,
"Texas","El Paso County",90,153,2,7
"Texas","Ellis County",14,9,,
"Texas","Erath County",6,7,1,
"Texas","Fannin County",11,11,,
"Texas","Fort Bend County",48,205,8,7
"Texas","Franklin County",,1,,
"Texas","Galveston County",68,99,6,5
"Texas","Gillespie County",12,33,,
"Texas","Gonzales County",,8,,1
"Texas","Grayson County",11,17,1,1
"Texas","Gregg County",11,24,,3
"Texas","Grimes County",7,8,,
"Texas","Guadalupe County",8,20,5,1
"Texas","Hale County",2,,,
"Texas","Hamilton County",1,,,
"Texas","Hardin County",3,8,2,
"Texas","Harris County",1211,2356,160,118
"Texas","Harrison County",4,3,,
"Texas","Hays County",32,59,6,3
"Texas","Henderson County",3,1,,1
"Texas","Hidalgo County",44,87,2,7
"Texas","Hill County",2,,,
"Texas","Hood County",4,8,,
"Texas","Hopkins County",,2,,
"Texas","Houston County",1,1,,
"Texas","Howard County",1,3,,1
"Texas","Hunt County",35,29,2,1
"Texas","Hutchinson County",2,4,,
"Texas","Irion County",,1,,
"Texas","Jefferson County",18,25,1,1
"Texas","Johnson County",34,116,3,
"Texas","Jones County",1,,,
"Texas","Kaufman County",1,23,1,
"Texas","Kendall County",,8,1,1
"Texas","Kerr County",1,13,,
"Texas","La Salle County",,5,,
"Texas","Lamar County",2,9,,2
"Texas","Lampasas County",1,1,,
"Texas","Liberty County",,3,,
"Texas","Limestone County",,1,,
"Texas","Llano County",,5,,
"Texas","Lubbock County",30,70,5,1
"Texas","Martin County",,1,,
"Texas","Matagorda County",,2,,
"Texas","Maverick County",,1,,1
"Texas","McLennan County",32,71,4,2
"Texas","Medina County",1,2,,
"Texas","Midland County",20,88,5,9
"Texas","Milam County",7,10,2,
"Texas","Mitchell County",,5,,
"Texas","Montague County",13,8,,1
"Texas","Montgomery County",36,79,5,6
"Texas","Moore County",,1,,
"Texas","Morris County",1,,,
"Texas","Nacogdoches County",6,4,,
"Texas","Navarro County",1,,,
"Texas","Nolan County",1,,,
"Texas","Nueces County",27,72,11,3
"Texas","Orange County",4,10,2,
"Texas","Palo Pinto County",1,12,2,
"Texas","Panola County",21,13,,
"Texas","Parker County",10,15,,1
"Texas","Polk County",4,62,,
"Texas","Potter County",109,32,4,2
"Texas","Presidio County",1,,,
"Texas","Randall County",4,1,,1
"Texas","Reeves County",,1,,
"Texas","Rockwall County",11,41,2,
"Texas","Rusk County",1,2,,
"Texas","Sabine County",,2,,
"Texas","San Jacinto County",2,3,,
"Texas","San Patricio County",5,4,1,
"Texas","Shelby County",1,1,,
"Texas","Smith County",33,50,,1
"Texas","Starr County",,2,,
"Texas","Stephens County",,1,,
"Texas","Sutton County",1,,,
"Texas","Tarrant County",455,767,55,34
"Texas","Taylor County",13,21,1,2
"Texas","Titus County",,2,,
"Texas","Tom Green County",11,14,,1
"Texas","Travis County",864,1860,123,96
"Texas","Trinity County",,1,,
"Texas","Tyler County",,2,,
"Texas","Upshur County",1,5,,
"Texas","Uvalde County",16,6,3,
"Texas","Val Verde County",11,9,1,
"Texas","Van Zandt County",2,5,,
"Texas","Victoria County",3,21,,1
"Texas","Walker County",3,7,1,
"Texas","Waller County",1,,,
"Texas","Ward County",1,,,
"Texas","Washington County",4,1,,
"Texas","Webb County",8,16,,
"Texas","Wharton County",,2,,
"Texas","Wichita County",8,24,2,
"Texas","Wilbarger County",2,,,1
"Texas","Williamson County",57,103,4,5
"Texas","Wilson County",,2,,
"Texas","Wise County",6,23,1,2
"Texas","Wood County",,2,,
"Maine","Androscoggin County",4,27,,
"Maine","Aroostook County",,3,,
"Maine","Cumberland County",57,129,7,17
"Maine","Franklin County",10,9,1,
"Maine","Hancock County",,1,,
"Maine","Kennebec County",1,7,,
"Maine","Knox County",,2,,1
"Maine","Oxford County",,10,,1
"Maine","Penobscot County",10,28,3,1
"Maine","Sagadahoc County",3,12,2,3
"Maine","Somerset County",,1,,
"Maine","Waldo County",,1,,
"Maine","Washington County",1,4,1,
"Maine","York County",12,21,1,
"Minnesota","Anoka County",6,14,,1
"Minnesota","Becker County",,1,,
"Minnesota","Beltrami County",8,10,4,1
"Minnesota","Benton County",1,2,,1
"Minnesota","Big Stone County",,1,,
"Minnesota","Brown County",6,2,1,
"Minnesota","Carlton County",1,2,,
"Minnesota","Carver County",8,12,1,
"Minnesota","Cass County",,3,,
"Minnesota","Chisago County",3,2,,
"Minnesota","Clay County",8,16,,
"Minnesota","Crow Wing County",,5,,
"Minnesota","Dakota County",72,67,4,14
"Minnesota","Dodge County",3,4,,
"Minnesota","Douglas County",,1,1,
"Minnesota","Faribault County",1,8,,2
"Minnesota","Fillmore County",2,4,,
"Minnesota","Freeborn County",7,3,,1
"Minnesota","Goodhue County",1,7,,
"Minnesota","Hennepin County",751,873,71,75
"Minnesota","Hubbard County",,1,,
"Minnesota","Isanti County",,2,,
"Minnesota","Itasca County",1,3,1,
"Minnesota","Kandiyohi County",1,10,1,1
"Minnesota","Koochiching County",,2,,
"Minnesota","Lac qui Parle County",1,1,1,
"Minnesota","Lake County",2,4,1,
"Minnesota","Le Sueur County",5,,1,
"Minnesota","Martin County",,1,,
"Minnesota","McLeod County",2,2,,
"Minnesota","Meeker County",,2,,
"Minnesota","Morrison County",,1,,
"Minnesota","Mower County",1,11,,2
"Minnesota","Nicollet County",5,14,2,
"Minnesota","Nobles County",1,2,,
"Minnesota","Olmsted County",8,13,3,3
"Minnesota","Otter Tail County",,7,1,
"Minnesota","Pine County",4,11,1,4
"Minnesota","Polk County",2,4,1,
"Minnesota","Ramsey County",57,52,7,14
"Minnesota","Redwood County",1,4,,
"Minnesota","Rice County",2,8,,
"Minnesota","Rock County",,1,,
"Minnesota","Roseau County",,2,1,
"Minnesota","Scott County",12,21,3,3
"Minnesota","Sherburne County",2,5,,
"Minnesota","St. Louis County",43,72,4,6
"Minnesota","Stearns County",9,4,1,
"Minnesota","Steele County",,7,,
"Minnesota","Stevens County",2,1,,
"Minnesota","Todd County",,1,,
"Minnesota","Wabasha County",1,3,,
"Minnesota","Wadena County",,1,,
"Minnesota","Waseca County",,1,1,
"Minnesota","Washington County",56,57,2,5
"Minnesota","Winona County",3,,1,
"Minnesota","Wright County",4,10,1,
"Kansas","Atchison County",1,,,
"Kansas","Barton County",8,3,,1
"Kansas","Butler County",2,5,2,
"Kansas","Cowley County",3,7,,
"Kansas","Douglas County",2,2,,
"Kansas","Elk County",,3,1,
"Kansas","Ellis County",9,10,,
"Kansas","Finney County",1,2,,
"Kansas","Ford County",2,6,,
"Kansas","Harvey County",2,,,
"Kansas","Hodgeman County",,2,,
"Kansas","Johnson County",113,205,8,11
"Kansas","Kingman County",,1,,
"Kansas","Labette County",1,,,
"Kansas","Leavenworth County",7,4,,1
"Kansas","Lyon County",,1,,
"Kansas","McPherson County",1,,,
"Kansas","Miami County",,1,,
"Kansas","Mitchell County",3,7,,
"Kansas","Montgomery County",,6,,
"Kansas","Nemaha County",,4,1,
"Kansas","Neosho County",1,,,
"Kansas","Norton County",1,,,
"Kansas","Osborne County",56,32,3,5
"Kansas","Ottawa County",3,1,,1
"Kansas","Pratt County",1,,,
"Kansas","Reno County",2,5,,
"Kansas","Riley County",15,13,,1
"Kansas","Rooks County",,1,,
"Kansas","Russell County",1,2,1,1
"Kansas","Saline County",2,5,,1
"Kansas","Sedgwick County",127,134,7,10
"Kansas","Seward County",,1,,
"Kansas","Shawnee County",18,48,5,3
"Kansas","Sherman County",1,1,,
"Kansas","Smith County",1,,,
"Kansas","Sumner County",,1,,
"Kansas","Wabaunsee County",1,,,
"Kansas","Washington County",1,,,
"Kansas","Wyandotte County",11,12,2,3
"New Jersey","Atlantic County",23,47,2,1
"New Jersey","Bergen County",48,260,5,8
"New Jersey","Burlington County",12,42,5,4
"New Jersey","Camden County",61,82,6,12
"New Jersey","Cape May County",6,12,4,
"New Jersey","Cumberland County",3,12,1,2
"New Jersey","Essex County",111,143,13,8
"New Jersey","Gloucester County",2,13,2,
"New Jersey","Hudson County",78,195,14,10
"New Jersey","Hunterdon County",2,20,,
"New Jersey","Mercer County",20,64,8,1
"New Jersey","Middlesex County",57,107,4,7
"New Jersey","Monmouth County",45,210,8,11
"New Jersey","Morris County",57,132,4,2
"New Jersey","Ocean County",57,105,6,8
"New Jersey","Passaic County",21,79,10,8
"New Jersey","Salem County",3,6,1,
"New Jersey","Somerset County",2,20,2,
"New Jersey","Sussex County",2,28,1,3
"New Jersey","Union County",26,69,3,4
"New Jersey","Warren County",1,9,1,1
"Oklahoma","Atoka County",4,46,,1
"Oklahoma","Bryan County",,1,,
"Oklahoma","Canadian County",4,21,2,1
"Oklahoma","Carter County",,6,3,
"Oklahoma","Cherokee County",4,4,1,
"Oklahoma","Cleveland County",36,71,9,5
"Oklahoma","Comanche County",27,9,2,3
"Oklahoma","Cotton County",,1,,
"Oklahoma","Creek County",,2,,
"Oklahoma","Delaware County",,,1,
"Oklahoma","Garfield County",4,3,,
"Oklahoma","Grady County",,2,,
"Oklahoma","Jackson County",1,6,,
"Oklahoma","Jefferson County",,2,,
"Oklahoma","Kay County",2,3,,
"Oklahoma","Kiowa County",5,,,
"Oklahoma","Le Flore County",1,8,,
"Oklahoma","Logan County",28,4,1,
"Oklahoma","Marshall County",1,,,
"Oklahoma","Mayes County",1,,,
"Oklahoma","McClain County",,1,,
"Oklahoma","McCurtain County",,3,,
"Oklahoma","McIntosh County",,2,,1
"Oklahoma","Muskogee County",3,17,2,
"Oklahoma","Nowata County",1,,,
"Oklahoma","Okfuskee County",,3,,
"Oklahoma","Oklahoma County",200,291,27,26
"Oklahoma","Okmulgee County",4,4,,
"Oklahoma","Osage County",2,,1,
"Oklahoma","Ottawa County",1,4,1,
"Oklahoma","Pawnee County",11,5,,
"Oklahoma","Payne County",2,12,1,3
"Oklahoma","Pittsburg County",,3,1,
"Oklahoma","Pontotoc County",4,4,,
"Oklahoma","Pottawatomie County",5,,,
"Oklahoma","Rogers County",7,5,,
"Oklahoma","Seminole County",1,1,,
"Oklahoma","Sequoyah County",4,,,
"Oklahoma","Stephens County",2,3,,
"Oklahoma","Tulsa County",132,253,16,10
"Oklahoma","Wagoner County",2,2,,
"Oklahoma","Washington County",2,32,,
"Oklahoma","Woodward County",1,2,1,
"Alabama","Autauga County",2,26,,
"Alabama","Baldwin County",24,47,3,1
"Alabama","Barbour County",3,1,,
"Alabama","Blount County",1,,,
"Alabama","Butler County",,1,,
"Alabama","Calhoun County",8,6,1,
"Alabama","Chambers County",,1,,
"Alabama","Cherokee County",,3,,
"Alabama","Chilton County",,1,,
"Alabama","Clay County",,2,,
"Alabama","Coffee County",,7,1,
"Alabama","Colbert County",4,,,
"Alabama","Covington County",2,,,
"Alabama","Cullman County",,4,,
"Alabama","Dale County",7,5,,1
"Alabama","Dallas County",2,1,,
"Alabama","Elmore County",,2,,
"Alabama","Escambia County",,1,,
"Alabama","Etowah County",3,5,2,
"Alabama","Henry County",,1,,1
"Alabama","Houston County",13,17,,2
"Alabama","Jackson County",,2,,
"Alabama","Jefferson County",103,214,15,21
"Alabama","Lauderdale County",4,11,,1
"Alabama","Lee County",13,48,1,5
"Alabama","Limestone County",8,15,,1
"Alabama","Madison County",106,146,8,14
"Alabama","Marengo County",,1,,
"Alabama","Marion County",3,,,
"Alabama","Marshall County",5,6,,
"Alabama","Mobile County",26,59,9,3
"Alabama","Montgomery County",22,49,5,4
"Alabama","Morgan County",10,13,,1
"Alabama","Pike County",5,14,5,
"Alabama","Russell County",1,1,,
"Alabama","Shelby County",6,12,1,
"Alabama","St. Clair County",3,2,,1
"Alabama","Talladega County",2,12,,
"Alabama","Tallapoosa County",1,6,,
"Alabama","Tuscaloosa County",11,50,2,1
"Alabama","Walker County",7,4,,
"Georgia","Bacon County",,2,,
"Georgia","Baldwin County",,2,,
"Georgia","Barrow County",6,4,,
"Georgia","Bartow County",8,11,1,2
"Georgia","Berrien County",12,1,,
"Georgia","Bryan County",1,4,,
"Georgia","Bulloch County",25,27,1,1
"Georgia","Burke County",1,1,,
"Georgia","Butts County",7,1,,1
"Georgia","Camden County",,4,1,2
"Georgia","Carroll County",1,10,,1
"Georgia","Catoosa County",6,2,,
"Georgia","Chatham County",90,169,10,8
"Georgia","Chattooga County",,4,,
"Georgia","Cherokee County",28,74,4,4
"Georgia","Clayton County",11,11,1,
"Georgia","Cobb County",122,236,10,6
"Georgia","Coffee County",10,15,,
"Georgia","Colquitt County",,3,,
"Georgia","Columbia County",1,7,,
"Georgia","Coweta County",7,21,2,1
"Georgia","Dawson County",52,42,3,
"Georgia","DeKalb County",31,56,5,3
"Georgia","Dougherty County",6,18,2,
"Georgia","Douglas County",4,1,,
"Georgia","Effingham County",1,2,,
"Georgia","Elbert County",,1,,
"Georgia","Fannin County",2,2,,
"Georgia","Fayette County",10,30,3,1
"Georgia","Floyd County",19,19,2,
"Georgia","Forsyth County",12,16,,2
"Georgia","Fulton County",1450,2004,187,130
"Georgia","Gilmer County",1,9,,
"Georgia","Glynn County",,6,1,
"Georgia","Gordon County",2,4,,
"Georgia","Grady County",,3,,
"Georgia","Gwinnett County",56,129,9,2
"Georgia","Habersham County",4,2,,
"Georgia","Hall County",36,28,2,2
"Georgia","Haralson County",1,,,
"Georgia","Hart County",1,2,,
"Georgia","Henry County",11,11,,2
"Georgia","Houston County",4,9,,1
"Georgia","Irwin County",1,,,
"Georgia","Jackson County",1,3,1,1
"Georgia","Jasper County",4,,,
"Georgia","Jones County",,1,,
"Georgia","Laurens County",,1,1,
"Georgia","Liberty County",3,,1,2
"Georgia","Lowndes County",7,22,2,2
"Georgia","Lumpkin County",9,13,,
"Georgia","Madison County",,1,,
"Georgia","McIntosh County",2,,,
"Georgia","Meriwether County",,1,,
"Georgia","Mitchell County",7,1,,1
"Georgia","Monroe County",,2,,
"Georgia","Morgan County",2,3,1,
"Georgia","Murray County",2,6,1,
"Georgia","Muscogee County",29,26,4,1
"Georgia","Newton County",6,7,2,1
"Georgia","Oconee County",2,2,,1
"Georgia","Paulding County",3,6,2,
"Georgia","Peach County",2,2,,
"Georgia","Pickens County",,1,,
"Georgia","Pierce County",2,,,
"Georgia","Polk County",3,4,,
"Georgia","Rabun County",,2,,
"Georgia","Screven County",1,,,
"Georgia","Spalding County",1,4,,1
"Georgia","Stephens County",,1,,
"Georgia","Sumter County",,3,1,
"Georgia","Terrell County",1,,,
"Georgia","Thomas County",2,1,1,1
"Georgia","Tift County",,5,2,
"Georgia","Towns County",1,5,,
"Georgia","Troup County",2,7,1,2
"Georgia","Twiggs County",2,,1,
"Georgia","Upson County",,1,,
"Georgia","Walker County",3,11,1,
"Georgia","Walton County",12,22,,
"Georgia","Washington County",,1,,
"Georgia","White County",2,8,,
"Georgia","Whitfield County",3,7,,1
"Georgia","Wilkes County",2,,,
"Georgia","Worth County",2,,,
"Oregon","Baker County",5,2,,
"Oregon","Benton County",11,22,1,3
"Oregon","Clackamas County",31,78,3,6
"Oregon","Clatsop County",3,5,,
"Oregon","Columbia County",,2,1,
"Oregon","Coos County",20,22,1,2
"Oregon","Crook County",1,1,,
"Oregon","Curry County",1,8,,
"Oregon","Deschutes County",30,78,7,3
"Oregon","Douglas County",3,2,1,
"Oregon","Harney County",,2,,
"Oregon","Hood River County",1,9,1,
"Oregon","Jackson County",34,50,4,4
"Oregon","Jefferson County",3,6,,
"Oregon","Josephine County",10,27,5,
"Oregon","Klamath County",7,5,,
"Oregon","Lane County",91,82,7,10
"Oregon","Lincoln County",,3,,1
